RESPNUM_FK,comment_field,comment_group,comment_code,Comment,Sentiment
1868,Q8COM1,Q8,202,Security area too crowded,Negative
1870,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1871,Q8COM1,Q8,71,Approach signs inaccurate (which airline at which terminal),Negative
1872,Q8COM1,Q8,102,Wider selection of restaurants,Negative
1873,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
1876,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
1877,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
1880,Q8COM1,Q8,6,Airport seems crowded / cramped / noisy / too small / dimly lit,Negative
1883,Q8COM1,Q8,9,Staff (general) are rude / do not help,Negative
1884,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
1885,Q8COM1,Q8,1,General positive comment / everything is great,Positive
1886,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
1887,Q8COM1,Q8,201,Security lines too long,Negative
1888,Q8COM1,Q8,201,Security lines too long,Negative
1892,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
1893,Q8COM1,Q8,1,General positive comment / everything is great,Positive
1898,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
1899,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
1900,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
1901,Q8COM1,Q8,10,Provide better service to those with disabilities,Negative
1902,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
1903,Q8COM1,Q8,102,Wider selection of restaurants,Negative
1904,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
1910,Q8COM1,Q8,102,Wider selection of restaurants,Negative
1912,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1914,Q8COM1,Q8,102,Wider selection of restaurants,Negative
1915,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1916,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1917,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1918,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
1919,Q8COM1,Q8,1,General positive comment / everything is great,Positive
1920,Q8COM1,Q8,102,Wider selection of restaurants,Negative
1921,Q8COM1,Q8,152,Add a specific type of store,Negative
1922,Q8COM1,Q8,102,Wider selection of restaurants,Negative
1925,Q8COM1,Q8,103,More casual/fast food options,Negative
1927,Q8COM1,Q8,202,Security area too crowded,Negative
1928,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
1930,Q8COM1,Q8,210,Increase visible security away from checkpoints,Negative
1932,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1933,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1934,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
1935,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
1936,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1937,Q8COM1,Q8,206,Security staff rude / treat passengers better,Negative
1939,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
1941,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
1942,Q8COM1,Q8,151,Wider selection of shops,Negative
1944,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1945,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
1946,Q8COM1,Q8,206,Security staff rude / treat passengers better,Negative
1947,Q8COM1,Q8,1,General positive comment / everything is great,Positive
1948,Q8COM1,Q8,202,Security area too crowded,Negative
1950,Q8COM1,Q8,1,General positive comment / everything is great,Positive
1954,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
1955,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
1956,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
1958,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
1959,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
1960,Q8COM1,Q8,52,Signage inaccurate / confusing,Negative
1961,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
1963,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
1966,Q8COM1,Q8,102,Wider selection of restaurants,Negative
1968,Q8COM1,Q8,8,Staff (general) are great / excellent customer service,Positive
1969,Q8COM1,Q8,107,"More diet options (vegan, halal, gluten‑free)",Negative
1976,Q8COM1,Q8,1,General positive comment / everything is great,Positive
1977,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
1978,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
1979,Q8COM1,Q8,63,Better signage/directions (general),Negative
1980,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
1984,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
1985,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
1987,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
1988,Q8COM1,Q8,102,Wider selection of restaurants,Negative
1989,Q8COM1,Q8,71,Approach signs inaccurate (which airline at which terminal),Negative
1993,Q8COM1,Q8,201,Security lines too long,Negative
1994,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
1995,Q8COM1,Q8,18,Change / improve / add artwork,Negative
1996,Q8COM1,Q8,1,General positive comment / everything is great,Positive
1998,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2002,Q8COM1,Q8,66,Difficult to navigate with disabilities,Negative
2003,Q8COM1,Q8,13,Luggage carts: more / free / available after security,Negative
2004,Q8COM1,Q8,19,Add more ‘things to do’ / interactive spaces,Negative
2006,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2007,Q8COM1,Q8,152,Add a specific type of store,Negative
2008,Q8COM1,Q8,19,Add more ‘things to do’ / interactive spaces,Negative
2009,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
2011,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2012,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2013,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2014,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2015,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2017,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
2018,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
2019,Q8COM1,Q8,201,Security lines too long,Negative
2023,Q8COM1,Q8,43,Make airport cleaner (general),Negative
2024,Q8COM1,Q8,105,Improve quality of food,Negative
2025,Q8COM1,Q8,203,Security process too confusing,Negative
2028,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2029,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2031,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2032,Q8COM1,Q8,201,Security lines too long,Negative
2033,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
2035,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2037,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2038,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
2043,Q8COM1,Q8,151,Wider selection of shops,Negative
2044,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2045,Q8COM1,Q8,16,Add place to nap / sleep,Negative
2046,Q8COM1,Q8,994,Positive comment about seating/boarding areas,Positive
2048,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2049,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2050,Q8COM1,Q8,59,AirTrain signage nonexistent / confusing,Negative
2053,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
2054,Q8COM1,Q8,51,Provide announcements / signs in other languages,Negative
2055,Q8COM1,Q8,994,Positive comment about seating/boarding areas,Positive
2056,Q8COM1,Q8,72,Approach by car too congested,Negative
2060,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2066,Q8COM1,Q8,71,Approach signs inaccurate (which airline at which terminal),Negative
2073,Q8COM1,Q8,15,Add gym / yoga / massages,Negative
2075,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2076,Q8COM1,Q8,71,Approach signs inaccurate (which airline at which terminal),Negative
2078,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2080,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2087,Q8COM1,Q8,16,Add place to nap / sleep,Negative
2088,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2089,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2091,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2094,Q8COM1,Q8,201,Security lines too long,Negative
2095,Q8COM1,Q8,33,More ATMs / currency exchange / water refill / fountains,Negative
2096,Q8COM1,Q8,60,Could not find information booths / staff,Negative
2097,Q8COM1,Q8,201,Security lines too long,Negative
2098,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
2099,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2100,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
2101,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2103,Q8COM1,Q8,51,Provide announcements / signs in other languages,Negative
2104,Q8COM1,Q8,201,Security lines too long,Negative
2112,Q8COM1,Q8,202,Security area too crowded,Negative
2113,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2115,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2116,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2117,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2118,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2119,Q8COM1,Q8,16,Add place to nap / sleep,Negative
2120,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2121,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2122,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2124,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2125,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2128,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2130,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
2131,Q8COM1,Q8,9,Staff (general) are rude / do not help,Negative
2132,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2133,Q8COM1,Q8,151,Wider selection of shops,Negative
2134,Q8COM1,Q8,41,Improve communications on gate changes / delays,Negative
2137,Q8COM1,Q8,17,More facilities for families / children,Negative
2139,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
2140,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2143,Q8COM1,Q8,103,More casual/fast food options,Negative
2144,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2147,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2150,Q8COM1,Q8,51,Provide announcements / signs in other languages,Negative
2151,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2154,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2155,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
2156,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
2157,Q8COM1,Q8,7,Update older areas / airport seems outdated,Negative
2162,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2165,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
2166,Q8COM1,Q8,109,More high‑end restaurants,Negative
2167,Q8COM1,Q8,201,Security lines too long,Negative
2168,Q8COM1,Q8,60,Could not find information booths / staff,Negative
2170,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2171,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2172,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2173,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2174,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2176,Q8COM1,Q8,18,Change / improve / add artwork,Negative
2179,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2180,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
2181,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
2182,Q8COM1,Q8,33,More ATMs / currency exchange / water refill / fountains,Negative
2183,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
2185,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
2188,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2192,Q8COM1,Q8,12,Elevators / escalators / people movers broken,Negative
2194,Q8COM1,Q8,59,AirTrain signage nonexistent / confusing,Negative
2197,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2198,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2199,Q8COM1,Q8,17,More facilities for families / children,Negative
2201,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2204,Q8COM1,Q8,59,AirTrain signage nonexistent / confusing,Negative
2205,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2207,Q8COM1,Q8,205,Relax prohibited items / security restrictions,Negative
2208,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2209,Q8COM1,Q8,72,Approach by car too congested,Negative
2212,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2215,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2216,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2218,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2219,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2220,Q8COM1,Q8,151,Wider selection of shops,Negative
2225,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2226,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2229,Q8COM1,Q8,60,Could not find information booths / staff,Negative
2230,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2231,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
2237,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2238,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2240,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2242,Q8COM1,Q8,63,Better signage/directions (general),Negative
2243,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2245,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
2247,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
2251,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
2253,Q8COM1,Q8,207,Immigration/customs staff rude,Negative
2255,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
2257,Q8COM1,Q8,25,Add / bring back smoking areas,Negative
2258,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2262,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2263,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
2265,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2266,Q8COM1,Q8,105,Improve quality of food,Negative
2268,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2269,Q8COM1,Q8,12,Elevators / escalators / people movers broken,Negative
2270,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2271,Q8COM1,Q8,61,Info booth personnel could not help / wrong info,Negative
2273,Q8COM1,Q8,63,Better signage/directions (general),Negative
2274,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
2277,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2280,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2281,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2282,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2284,Q8COM1,Q8,72,Approach by car too congested,Negative
2285,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2287,Q8COM1,Q8,15,Add gym / yoga / massages,Negative
2288,Q8COM1,Q8,57,Announcements hard to hear / understand,Negative
2292,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
2294,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2296,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2297,Q8COM1,Q8,105,Improve quality of food,Negative
2299,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2300,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
2302,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
2305,Q8COM1,Q8,151,Wider selection of shops,Negative
2309,Q8COM1,Q8,64,Takes too long to get to gate (overall),Negative
2310,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2311,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2312,Q8COM1,Q8,44,Too hot / too cold,Negative
2313,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2315,Q8COM1,Q8,52,Signage inaccurate / confusing,Negative
2317,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2324,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2325,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2327,Q8COM1,Q8,994,Positive comment about seating/boarding areas,Positive
2328,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2329,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2331,Q8COM1,Q8,16,Add place to nap / sleep,Negative
2336,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2337,Q8COM1,Q8,43,Make airport cleaner (general),Negative
2340,Q8COM1,Q8,151,Wider selection of shops,Negative
2343,Q8COM1,Q8,6,Airport seems crowded / cramped / noisy / too small / dimly lit,Negative
2344,Q8COM1,Q8,15,Add gym / yoga / massages,Negative
2348,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2351,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
2354,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
2355,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2356,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2358,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
2360,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2361,Q8COM1,Q8,201,Security lines too long,Negative
2363,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
2369,Q8COM1,Q8,201,Security lines too long,Negative
2370,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
2371,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2372,Q8COM1,Q8,107,"More diet options (vegan, halal, gluten‑free)",Negative
2373,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2379,Q8COM1,Q8,151,Wider selection of shops,Negative
2380,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2381,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
2387,Q8COM1,Q8,108,More local/SF Bay Area food options,Negative
2389,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
2390,Q8COM1,Q8,72,Approach by car too congested,Negative
2391,Q8COM1,Q8,103,More casual/fast food options,Negative
2392,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
2393,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2395,Q8COM1,Q8,63,Better signage/directions (general),Negative
2396,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2397,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2399,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2401,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2402,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2403,Q8COM1,Q8,202,Security area too crowded,Negative
2405,Q8COM1,Q8,25,Add / bring back smoking areas,Negative
2406,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2407,Q8COM1,Q8,202,Security area too crowded,Negative
2409,Q8COM1,Q8,994,Positive comment about seating/boarding areas,Positive
2410,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2415,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2417,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
2418,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2421,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
2429,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
2430,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2431,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2433,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2434,Q8COM1,Q8,202,Security area too crowded,Negative
2435,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
2436,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
2439,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2440,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
2442,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2443,Q8COM1,Q8,7,Update older areas / airport seems outdated,Negative
2447,Q8COM1,Q8,151,Wider selection of shops,Negative
2448,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2450,Q8COM1,Q8,12,Elevators / escalators / people movers broken,Negative
2454,Q8COM1,Q8,7,Update older areas / airport seems outdated,Negative
2455,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2457,Q8COM1,Q8,20,Open shops / currency / info booths earlier,Negative
2458,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2461,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2462,Q8COM1,Q8,106,Positive comment about restaurants/food,Positive
2463,Q8COM1,Q8,72,Approach by car too congested,Negative
2464,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2467,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
2468,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2469,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
2470,Q8COM1,Q8,4,Don’t know / don’t come enough to know,Neutral
2473,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
2474,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2475,Q8COM1,Q8,72,Approach by car too congested,Negative
2477,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
2478,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
2480,Q8COM1,Q8,201,Security lines too long,Negative
2484,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2485,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2488,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2491,Q8COM1,Q8,72,Approach by car too congested,Negative
2494,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2500,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
2501,Q8COM1,Q8,44,Too hot / too cold,Negative
2503,Q8COM1,Q8,105,Improve quality of food,Negative
2505,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2507,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2511,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2515,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2518,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2520,Q8COM1,Q8,151,Wider selection of shops,Negative
2522,Q8COM1,Q8,108,More local/SF Bay Area food options,Negative
2524,Q8COM1,Q8,4,Don’t know / don’t come enough to know,Neutral
2527,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
2530,Q8COM1,Q8,993,Positive comment about child areas/changing areas,Positive
2534,Q8COM1,Q8,25,Add / bring back smoking areas,Negative
2536,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
2538,Q8COM1,Q8,41,Improve communications on gate changes / delays,Negative
2541,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2542,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2543,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2544,Q8COM1,Q8,151,Wider selection of shops,Negative
2545,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
2546,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
2549,Q8COM1,Q8,6,Airport seems crowded / cramped / noisy / too small / dimly lit,Negative
2551,Q8COM1,Q8,105,Improve quality of food,Negative
2553,Q8COM1,Q8,57,Announcements hard to hear / understand,Negative
2555,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
2557,Q8COM1,Q8,151,Wider selection of shops,Negative
2559,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
2563,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2566,Q8COM1,Q8,105,Improve quality of food,Negative
2568,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
2570,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2578,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
2582,Q8COM1,Q8,65,Better signage at arrivals / luggage pickup,Negative
2583,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
2587,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
2588,Q8COM1,Q8,60,Could not find information booths / staff,Negative
2594,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
2603,Q8COM1,Q8,201,Security lines too long,Negative
2610,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2618,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2620,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
2628,Q8COM1,Q8,206,Security staff rude / treat passengers better,Negative
2629,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
2630,Q8COM1,Q8,13,Luggage carts: more / free / available after security,Negative
2631,Q8COM1,Q8,42,Carpeting makes rolling luggage hard / escalators with bags difficult,Negative
2632,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
2633,Q8COM1,Q8,6,Airport seems crowded / cramped / noisy / too small / dimly lit,Negative
2634,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2635,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2637,Q8COM1,Q8,994,Positive comment about seating/boarding areas,Positive
2639,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
2640,Q8COM1,Q8,16,Add place to nap / sleep,Negative
2642,Q8COM1,Q8,102,Wider selection of restaurants,Negative
2643,Q8COM1,Q8,502,Airline staff rude / not helpful,Negative
2646,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2648,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2649,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
2650,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
2652,Q8COM1,Q8,7,Update older areas / airport seems outdated,Negative
2653,Q8COM1,Q8,105,Improve quality of food,Negative
2657,Q8COM1,Q8,1,General positive comment / everything is great,Positive
2660,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
2661,Q8COM1,Q8,151,Wider selection of shops,Negative
2662,Q8COM1,Q8,110,Improve restaurant staff service / slow / rude,Negative
